u,v,weight
235,897,1
596,876,1
723,779,1
154,527,2
528,853,1
226,591,2
688,710,2
186,527,2
62,67,2
243,313,2
55,918,2
1,172,1
394,695,2
155,935,2
498,688,1
62,780,1
6,253,2
154,460,2
254,602,2
584,883,1
77,343,2
129,216,1
597,742,1
130,224,1
130,599,1
497,984,2
252,798,1
793,799,1
562,603,1
254,798,2
66,244,2
393,584,2
269,658,1
468,596,2
381,829,2
529,712,2
1,153,2
352,713,1
649,984,2
63,668,2
853,991,2
253,328,1
446,597,2
723,918,2
447,596,2
224,603,2
367,496,2
225,467,2
173,722,1
129,252,2
184,951,2
343,587,2
163,757,1
198,467,2
689,897,2
728,998,2
381,689,2
756,935,1
344,990,2
822,898,1
577,728,1
0,991,2
241,431,2
729,990,1
658,710,2
215,723,2
325,659,1
33,722,1
246,985,1
712,891,2
98,579,2
0,529,1
225,757,2
541,950,2
5,799,2
696,897,2
185,528,2
325,917,2
323,727,1
54,63,2
289,713,1
242,592,2
244,772,1
76,669,2
234,243,1
242,430,2
344,459,2
772,775,1
604,727,1
473,579,1
253,585,1
252,479,1
352,481,1
227,468,1
129,811,1
72,850,1
493,935,1
97,794,1
175,979,1
651,908,1
101,773,1
184,399,1
49,601,1
299,422,1
83,215,1
58,890,1
298,658,1
477,492,1
102,713,1
251,528,1
34,844,1
77,668,1
19,715,1
62,94,1
324,597,1
69,755,1
130,860,1
632,777,1
590,652,1
172,600,1
367,934,1
256,572,1
143,359,1
798,919,1
74,470,1
71,90,1
268,591,1
255,573,1
351,482,1
36,299,1
308,822,1
327,353,1
174,980,1
50,600,1
655,722,1
483,820,1
398,541,1
224,633,1
307,823,1
268,486,1
20,714,1
47,164,1
495,867,1
711,866,1
133,325,1
494,868,1
585,882,1
247,505,1
743,983,1
226,366,1
531,584,1
749,861,1
713,722,1
462,484,1
326,496,1
246,506,1
68,307,1
82,480,1
454,480,1
515,767,1
516,766,1
303,338,1
172,309,1
89,851,1
98,472,1
250,393,1
306,867,1
322,592,1
130,907,1
501,853,1
476,659,1
110,812,1
216,775,1
32,200,1
353,835,1
244,928,1
173,822,1
331,603,1
203,921,1
265,423,1
688,898,1
7,509,1
247,756,1
338,828,1
485,728,1
463,819,1
246,757,1
290,646,1
291,645,1
256,269,1
216,843,1
0,929,1
302,339,1
134,243,1
709,861,1
648,854,1
257,990,1
232,906,1
35,102,1
669,687,1
249,394,1
354,834,1
266,657,1
497,578,1
374,727,1
8,508,1
530,648,1
654,799,1
163,281,1
280,985,1
228,602,1
1,776,1
109,813,1
231,811,1
337,829,1
144,358,1
676,991,1
688,985,1
241,974,1
713,973,1
688,973,1
972,985,1
