gene_size,replicate,strategy,genomes_gt,genomes_inf,runtime_phases_1_3,alpha,gamma
400,2,score,37,9,49.44790788499813,1.0,0.5
400,2,cost,37,10,55.222706938991905,1.0,0.5
400,2,score,38,8,45.89144718099851,1.0,0.25
400,2,cost,38,8,42.8674686000013,1.0,0.25
400,3,score,55,54,5042.00933022899,0.25,1.0
400,3,cost,55,54,4668.658472793992,0.25,1.0
400,3,score,6,6,0.9683866770064924,0.5,1.0
400,3,cost,6,6,0.9431614619970787,0.5,1.0
400,3,score,61,13,50.262385895999614,1.0,1.0
400,3,cost,61,13,50.44151054199028,1.0,1.0
400,3,score,6,5,11.89411433499481,1.0,0.5
400,3,cost,6,4,4.390957359995809,1.0,0.5
400,3,score,11,11,1.1088240889948793,1.0,0.25
400,3,cost,11,11,0.9804675990017131,1.0,0.25
400,4,score,24,24,2.680105639999965,0.25,1.0
400,4,cost,24,24,2.6549785819952376,0.25,1.0
400,4,score,31,6,25.382775550999213,0.5,1.0
400,4,cost,31,7,25.76285005400132,0.5,1.0
400,4,score,18,18,1.7509473269892624,1.0,1.0
400,4,cost,18,18,1.7193426960002398,1.0,1.0
400,4,score,41,10,36.87873800600937,1.0,0.5
400,4,cost,41,9,35.089462157993694,1.0,0.5
400,4,score,25,7,23.541985833988292,1.0,0.25
400,4,cost,25,6,21.99314920400502,1.0,0.25
400,5,score,41,41,1669.4011726820027,0.25,1.0
400,5,cost,41,41,1950.682924587003,0.25,1.0
400,5,score,12,6,24.417386786997668,0.5,1.0
400,5,cost,12,6,27.260576381988358,0.5,1.0
400,5,score,68,7,58.02039286799845,1.0,1.0
400,5,cost,68,7,58.335531203003484,1.0,1.0
400,5,score,65,64,7308.389835517999,1.0,0.5
400,5,cost,65,64,8167.444952157006,1.0,0.5
400,5,score,56,11,40.41125748200284,1.0,0.25
400,5,cost,56,11,39.6511952229921,1.0,0.25
